user_id,subscription_type,account_age_days,days_since_last_login,total_watch_time_min,num_sessions_last_30d,avg_session_duration_min,num_scroll_events,num_genres_watched,preferred_genre,used_search_last_30d,used_recommendations,has_profile_picture,watch_late_night_ratio,churned,watch_time_per_session,scrolls_per_session,avg_days_between_logins,genre_diversity_index,is_engaged
user_0,2,1079,10,481.61994711834416,12,42.21248721592577,18,4,1,True,False,True,0.5392000090755934,0,40.13496214739356,1.4999987500010417,89.91659173617356,0.003703703703703704,0
user_1,0,1099,15,211.9362695160276,13,43.06565515130447,30,8,0,True,False,True,0.6465778852212032,1,16.30277742217334,2.3076905325457444,84.53839650892577,0.007272727272727273,0
user_2,2,484,8,142.17173145676563,7,57.60686640293569,21,3,0,True,True,False,0.344464353540977,0,20.310218336368894,2.999995714291837,69.14275836748806,0.006185567010309278,0
user_3,2,1047,2,55.86410727922049,7,26.964965822515147,20,8,3,True,True,True,0.3952857402122225,0,7.980575353352423,2.8571387755160353,149.57121489826443,0.007633587786259542,0
user_4,1,88,4,51.20408349841886,10,42.22728389813466,17,3,4,False,True,True,0.2367049650697637,0,5.120403229438657,1.6999983000017,8.799991200008801,0.033707865168539325,0
user_5,1,1183,19,6.790918227443793,8,34.93706020069076,18,6,2,True,True,False,0.2724499147782433,1,0.8488637173508274,2.249997187503516,147.87481515648105,0.005067567567567568,0
user_6,1,569,13,282.4050882528828,10,53.27034639416394,14,4,4,True,True,True,0.3655749274097297,0,28.2404805848077,1.3999986000014,56.8999431000569,0.007017543859649123,0
user_7,0,623,27,344.64430096741035,5,45.256711522951946,22,8,1,True,True,True,0.1488160657944116,0,68.9287223360374,4.399991200017601,124.59975080049841,0.01282051282051282,0
user_8,2,361,25,39.90342297542572,10,50.146674112906,28,7,2,True,True,True,0.2416724250110036,1,3.990338307204265,2.7999972000028,36.0999639000361,0.019337016574585635,0
user_9,2,820,14,148.09031038153023,12,63.48119217124285,19,5,4,True,False,False,0.3451609639310332,1,12.340848914420091,1.5833320138899885,68.33327638893634,0.0060901339829476245,0
user_10,1,651,5,147.42864355416398,9,47.973633916887046,21,3,3,True,True,True,0.4710089010306904,0,16.38094219386023,2.3333307407436217,72.33325296305226,0.004601226993865031,0
user_11,0,447,26,170.31943787140722,10,61.44275543150144,22,5,1,True,False,True,0.7791786969674317,1,17.031926755213966,2.1999978000022002,44.6999553000447,0.011160714285714286,0
user_12,0,1097,25,200.4170008715792,11,25.351193915938744,11,4,2,False,True,False,0.3474534822021463,1,18.2197107885883,0.9999990909099173,99.72718206619813,0.0036429872495446266,0
